;Nama;Spesialisasi;Fakultas;Link Scholar
0;A. Sakir., Dr., SE., MM ;Finance, capital market and investment, behavioral finance, feasibility study, and mathematics of finance;FE;https://scholar.google.co.id/citations?user=SCWAJN0AAAAJ&hl=en
1;Abd. Jamal., Dr., S.E., M.Si ;Economics;FE;https://scholar.google.co.id/citations?user=d4FWCcwAAAAJ&hl=en&oi=ao
2;Cut Aprilia., S.E., M. Interbuss ;consumer behaviour, service marketing, Place Attachment;FE;https://scholar.google.co.id/citations?user=oWHrox4AAAAJ&hl=en
3;Diana Sapha A.H., S.E, M.Si ;ekonomi pembangunan;FE;https://scholar.google.co.id/citations?user=7oQazUUAAAAJ&hl=en
4;Dinaroe., SE., MBA.,Ak.,CA ;Financial Acocunting, Management Accounting, Entrepreneurship, Accounting Information System;FE;https://scholar.google.co.id/citations?user=a56zk_gAAAAJ&hl=en
5;Eddy Gunawan., Dr., M.Ec ;Labour Economics, Islamic Economics and Finance;FE;https://scholar.google.co.id/citations?user=eeQMExsAAAAJ&hl=en
6;Faisal., Prof. Dr., S.E., M.Si, MA ;Manajemen, Keuangan;FE;https://scholar.google.co.id/citations?hl=en&view_op=list_works&gmla=AJsN-F5oZSnZPbU5ns49Uo79fZoQyHepLbO2CCBiiJAwjZtqoF3L2BxiAVpadS-lxhu5y3K3eMTKmvcBbhBGL-9JjTgR_a5uS8g7KdnJLU6QzDWWYCddK0ka9pru3jfXxso32mMFgEEY&user=geaqYtkAAAAJ
7;Fakhrurrazi., SE., M.M ;political marketing, marketing communication, personal branding;FE;https://scholar.google.co.id/citations?user=_8R4gz4AAAAJ&hl=en
8;Fazli Syam Bz., Dr., SE,M.Si.Ak, CA ;"Management Accounting; Small Business Affair; Micro Finance and Accounting for Small Business; Pendidikan Agama Islam";FE;https://scholar.google.co.id/citations?user=4XgvrpQAAAAJ&hl=en
9;Fifi Yusmita., SE., M.Si ;sistem informasi akuntansi;FE;https://scholar.google.co.id/citations?hl=en&user=-JVtfgYAAAAJ
10;Fitriyani., SE., M.Sc ;Ekonomi Pembangunan, Ekonomi Moneter;FE;https://scholar.google.co.id/citations?user=ouPhFFkAAAAJ&hl=en
11;Heru Fahlevi., Dr., S.E., M.Sc ;Public Sector Accounting, Hospital Financing and Accounting, Public Management ;FE;https://scholar.google.com/citations?user=rQvjltYAAAAJ&hl=id
12;M. Shabri., Dr., SE., M.Ec ;Ekonomi dan Keuangan Islam;FE;https://scholar.google.co.id/citations?user=lRNWXnQAAAAJ&hl=en
13;Mahdani., Dr., S.E., MM. ;Manajemen;FE;https://scholar.google.co.id/citations?user=aopoWdUAAAAJ&hl=id
14;Muhammad Adam., Prof. Dr., S.E., MBA ;Manajemen dan Bisnis;FE;https://scholar.google.co.id/citations?user=7LI8oX0AAAAJ&hl=id
15;Muhammad Nasir., Dr., SE., M.Si., MA ;Ekonomi Pembangunan;FE;https://scholar.google.co.id/citations?user=IgNwjSgAAAAJ&hl=en
16;Mukhlis., Prof. Dr., S.E, MS. ;Management;FE;https://scholar.google.co.id/citations?view_op=list_works&hl=en&user=ZFj6TkkAAAAJ
17;Muslim., Dr., S.E, MBA ;Strategic Management dan Lembaga Keuangan/Perbankan ;FE;https://scholar.google.com/citations?user=-9hfyn0AAAAJ&hl=id
18;Mustafa Sabri., Dr. drh., M.P. ;Anatomi;FE;https://scholar.google.co.id/citations?hl=en&user=lyiWp64AAAAJ
19;Nazamuddin., Dr., S.E, M.A. ;Macroeconomics, Development Economics, Education Economics, Conflict Resolution, Disaster Economics;FE;https://scholar.google.co.id/citations?user=Qgxoyt0AAAAJ&hl=en
20;Saed Armia., S.E, M.M. ;Pemasaran;FE;https://scholar.google.co.id/citations?user=T-McvdcAAAAJ&hl=id
21;Said Muhammad., Prof. Dr., M.A. ;Labor economics,development economics;FE;https://scholar.google.com/citations?user=0Ynn5cMAAAAJ&hl=en&authuser=2
22;Said Musnadi., Prof.Dr., S.E, M.Si ;;FE;https://scholar.google.co.id/citations?user=mxw05roAAAAJ&hl=en&oi=ao
23;Saiful Bahri., Dr., M.S. ;Manajemen Sumber Daya Manusia;FE;https://scholar.google.co.id/citations?user=PlMzkMgAAAAJ&hl=en
24;Sofyan., Dr., S.E,MBA ;Manajemen Sumber Daya Manusia;FE;https://scholar.google.co.id/citations?user=9AIy28MAAAAJ&hl=id
25;Sorayanti Utami., Dr., S.E, M.M. ;Perilaku Konsumen, Komunikasi Pemasaran;FE;https://scholar.google.co.id/citations?hl=en&user=h2HkylkAAAAJ
26;Suriani., Dr., S.E., M.Si ;Ekonomi Pembangunan, Ekonomi Moneter, Makroekonomi, Kebanksentralan.;FE;https://scholar.google.com/citations?hl=en&user=wAFPH8gAAAAJ
27;Syafruddin., Dr., S.E., MBA ;Tourism Marketing & Management, SMEs,  Agricultural Industry, Marine Tourism;FE;https://scholar.google.co.id/citations?hl=en&user=biNbnWsAAAAJ&view_op=list_works&authuser=1&gmla=AJsN-F79quNY5LpVx61RSOBnQl4owVEOWRUiPZrvB0S1q2T5mX3RNoBuUL4-JjgerJy0vVHaLY47bihJW1WUNo5MMt1WABfJM9v4ndAYtJi9ao8QMaV5w1w
28;T. Zulham., Dr., SE. M.Si. ;Kependudukan dan Ekonomi Regional;FE;https://scholar.google.co.id/citations?user=LEW2PuUAAAAJ&hl=en
29;Talbani Farlian., S.E., M.A ;Economic, Public Policy, International Finance, Cooperatives, Islamic Economics and Micro Finance;FE;https://scholar.google.co.id/citations?user=-hIHOnEAAAAJ&hl=en
30;Taufiq C. Dawood., Dr., S.E., M.Ec.Dev ;makroekononmi, ekonomi moneter, ekonomi keuangan, ekonomi internasional, ekonomi pembangaunan.;FE;https://scholar.google.co.id/citations?user=LD3Ro6AAAAAJ&hl=en&authuser=1
31;Al Azhar., Dr. drh., M.Kes ;Biokimia, Genetika, Biologi Molekuler;FKH;https://scholar.google.co.id/citations?user=KbUh7Y8AAAAJ&hl=en
32;Amalia Sutriana., Dr. drh., M.Sc ;Klinik Veteriner dan Biologi Aquatik;FKH;https://scholar.google.co.id/citations?user=B5fxSkAAAAAJ&hl=en&oi=ao
33;Budianto Panjaitan., drh., M.Si ;Veterinary Sciences;FKH;https://scholar.google.co.id/citations?user=XawGjlUAAAAJ&hl=en
34;Cut Dahlia Iskandar., drh., M.Sc, Ph.D ;Histopatologi dan Biologi Molekuler;FKH;https://scholar.google.co.id/citations?hl=id&user=kBCK9tgAAAAJ
